toi,711535
khong,668048
la,477066
anh,469245
co,468127
ta,342219
cua,261208
di,254203
da,247638
do,242931
se,241323
chung,236973
gi,236762
mot,234520
duoc,230371
va,222351
co,214453
lam,206886
phai,205989
roi,198863
nguoi,196684
nay,191625
cho,185833
em,177577
day,174127
con,168380
sao,162224
biet,156116
ong,155744
noi,155663
no,154403
the,152739
voi,144172
cau,142665
the,137439
lai,133969
ra,133754
vay,132086
de,121695
nao,121332
ay,118465
cai,117809
dang,112941
muon,108510
trong,108108
ma,106079
nhu,105810
nhung,104672
khi,96056
nhung,95951
den,95759
dau,95631
chuyen,93298
chi,90053
ca,87140
ve,86595
thi,86015
ho,85147
gio,82815
thoi,82257
thay,81560
con,81162
cung,79398
vao,77039
cac,75968
bi,74580
nghi,74181
day,72983
ai,72950
that,72462
han,71154
neu,70886
minh,69850
viec,66672
nua,65710
rat,65684
vi,65423
can,64886
chu,61642
a,61569
dieu,61281
su,57977
toi,56078
xin,54951
thu,54351
chua,54331
nha,53987
len,53245
dung,52929
tu,52633
me,52302
nghe,51467
hon,50810
moi,50009
ban,49923
to,49551
nen,49046
chet,48483
may,48264
on,47895
dau,47584
dung,46663
tim,46658
tot,46052
tin,43073
hay,42324
qua,41886
nhieu,41738
truoc,41474
cam,41307
ba,41271
y,40978
hay,40080
cong,39715
nhat,39553
tao,39537
bo,39165
tat,38630
bao,38062
tren,37958
ten,37934
loi,37243
tai,36748
thanh,35778
sau,35762
chau,35472
ngay,35407
khac,35283
xem,35017
chac,34430
gap,34160
bat,34019
yeu,34009
cu,33853
qua,33596
van,33554
cung,33515
ngay,33507
thich,33480
cach,33425
nhin,33315
song,32847
bon,32818
luc,32401
giet,32240
moi,31965
quan,31729
chao,31674
dua,31285
lam,31247
goi,30702
het,30564
bao,30515
hai,30391
rang,30188
an,29738
giup,29578
hieu,29557
lay,29303
ngai,28943
tu,28842
lan,28697
chinh,28419
tay,28344
nhan,27894
cuoc,27777
bo,27717
nam,27049
mat,26886
ha,26854
vu,26661
xe,26531
nguoi,26465
nhan,26071
cha,26048
chua,25620
khoi,24903
nay,24835
dinh,24628
tien,24403
thoi,24285
co,24072
nhe,23831
do,23443
tro,23438
be,23287
mat,23196
duong,23158
vang,22814
gai,22754
luon,22701
may,22636
gia,22587
nhau,22524
loi,22243
noi,22222
chi,22135
xuong,22124
bay,22120
thua,22059
so,21965
dong,21962
do,21857
ngoai,21784
toan,21764
bat,21690
sat,21687
thuc,21461
tung,21435
phong,21402
thang,21209
ke,21157
hang,20865
bang,20737
chang,20672
chut,20621
nho,20581
chu,20528
nhien,20357
ly,20307
cho,20281
hoc,20188
nhanh,20137
quay,20117
si,19954
co,19944
tuyet,19906
le,19825
chien,19765
hoi,19763
dai,19737
tiep,19675
tinh,19580
oi,19526
ben,19478
dong,19470
vui,19428
on,19356
gian,19306
tam,19297
cuu,19250
de,19025
i,18920
sinh,18849
tra,18730
bo,18692
deu,18686
may,18671
vai,18480
vi,18374
nuoc,18307
giong,18286
danh,18276
xay,18265
choi,18245
trai,18193
toi,18125
canh,18036
cau,17642
kia,17524
ko,17522
giu,17406
hanh,17243
vo,17163
ket,16968
boi,16703
hien,16692
gioi,16611
vua,16582
tieng,16517
bao,16504
tuong,16251
cho,16120
lo,16114
dep,16033
hom,15936
vien,15818
hinh,15808
dang,15719
van,15471
trong,15441
binh,15165
du,15022
oh,14969
cam,14933
lon,14885
sang,14844
bac,14762
lau,14701
than,14568
so,14560
biet,14557
thong,14514
co,14506
giai,14490
phu,14429
thuong,14321
thuong,14316
ve,14313
cuoi,14225
ro,14223
cua,14183
hop,14138
trung,14016
ban,13987
dung,13981
oi,13962
tra,13945
ban,13901
cau,13763
ba,13721
hoi,13716
t,13715
doi,13660
tien,13567
than,13566
chay,13550
them,13524
dua,13512
thay,13470
mang,13421
quan,13395
xac,13363
doi,13348
ngu,13347
troi,13320
doi,13220
nho,13138
lien,13067
toi,12895
nghia,12885
an,12812
dien,12809
du,12696
bay,12669
nu,12611
ve,12590
phat,12510
doi,12464
c,12456
dem,12447
tre,12409
benh,12395
gan,12375
hoan,12318
truong,12261
doi,12057
tinh,12056
nhi,12026
dat,11969
